Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0402_1005Metric,38.098,-7.6941,180.0,top
C10,1uF,C_0402_1005Metric,7.874,-8.255,0.0,top
C11,20pF,C_0402_1005Metric,21.3241,-17.569,90.0,top
C12,4.7uF,C_0402_1005Metric,28.694,-18.538,180.0,top
C14,100nF,C_0402_1005Metric,28.694,-19.558,180.0,top
C19,100nF,C_0402_1005Metric,38.098,-11.9617,180.0,top
C27,4.7uF,C_0402_1005Metric,30.607,-18.538,180.0,top
C28,100nF,C_0402_1005Metric,23.493,-13.7372,180.0,top
C29,100nF,C_0402_1005Metric,23.493,-8.1809,180.0,top
C30,100nF,C_0402_1005Metric,30.579,-19.5578,180.0,top
C32,1uF,C_0402_1005Metric,23.493,-12.7,180.0,top
C6,4.7nF,C_0805_2012Metric,8.6868,-19.2511,180.0,top
C8,1uF,C_0402_1005Metric,7.4448,-6.5511,90.0,top
C9,20pF,C_0402_1005Metric,21.3241,-19.769,-90.0,top
D1,"PRTR5V0U2X,215",SOT-143,8.6868,-11.684,90.0,top
D2,LED,LED_0603_1608Metric,10.4668,-2.54,-90.0,top
D3,PMEG2005EL,D_SOD-323,8.7093,-14.859,0.0,top
J1,USB_B_Micro,USB_Micro-B_Molex_47346-0001,2.9718,-12.7,-90.0,top
J3,AMPHENOL_114-00841-68,AMPHENOL_114-00841-68,47.1518,-12.6885,90.0,top
L6,BLM18PG471SN1D,L_0603_1608Metric,38.098,-14.3554,180.0,top
R15,39,R_0402_1005Metric,23.493,-9.1969,0.0,top
R16,10K,R_0402_1005Metric,23.493,-10.287,0.0,top
R17,100k,R_0402_1005Metric,38.098,-9.8279,0.0,top
R18,330,R_0402_1005Metric,8.4668,-2.54,90.0,top
R2,1M,R_0402_1005Metric,8.6868,-16.891,180.0,top
R22,2k,R_0402_1005Metric,38.098,-18.903,0.0,top
R23,2k,R_0402_1005Metric,38.098,-16.7592,0.0,top
R7,1K,R_0402_1005Metric,10.158,-8.255,0.0,top
U2,AP7215-33YG-13,SOT-89-3,4.272,-3.429,0.0,top
U3,ATSAMD21G18A-48,QFN-48-1EP_7x7mm_P0.5mm_EP5.15x5.15mm,30.0679,-12.7,90.0,top
Y1,32.786KHz,Crystal_SMD_3215-2Pin_3.2x1.5mm,23.241,-18.669,-90.0,top
